id,reg_date,id_num,gender,birthday
109899,2011-02-01,35042519920219007J,男,1992/2/19
109903,2011-02-01,43048119891223411D,男,1989/12/23
109904,2011-02-01,42010219880201313H,男,1988/2/1
109905,2011-02-01,44030619840213001E,男,1984/2/13
109906,2011-02-01,43070219870502103H,男,1987/5/2
109907,2011-02-01,21010619840507182A,女,1984/5/7
109908,2011-02-01,23062319890914064C,女,1989/9/14
109909,2011-02-01,21010319870706183F,男,1987/7/6
109910,2011-02-01,61040219930620031J,男,1993/6/20
109911,2011-02-01,32048119881231141F,男,1988/12/31
109912,2011-02-01,21010519870312371I,男,1987/3/12
109915,2011-02-01,62010519790114101G,男,1979/1/14
109916,2011-02-01,61012419901011301I,男,1990/10/11
109919,2011-02-01,33020319530206214J,女,1953/2/6
109921,2011-02-01,21041119890629121A,男,1989/6/29
109922,2011-02-01,21028119831027081H,男,1983/10/27
109923,2011-02-01,43122219890408111G,男,1989/4/8
109925,2011-02-01,22050219821122121H,男,1982/11/22
109926,2011-02-01,41020319851230052E,女,1985/12/30
109929,2011-02-01,50010619860823081G,男,1986/8/23
109931,2011-02-01,36050219850917041A,男,1985/9/17
109933,2011-02-01,53010319870802151C,男,1987/8/2
109934,2011-02-01,45030219900522051J,男,1990/5/22
109935,2011-02-01,65212219831227001E,男,1983/12/27
109939,2011-02-01,23118119850505051B,男,1985/5/5
109940,2011-02-01,32083019900211723F,男,1990/2/11
109941,2011-02-01,37068319900526191E,男,1990/5/26
109943,2011-02-01,21020419861128071H,男,1986/11/28
109944,2011-02-01,23272219850910041D,男,1985/9/10
109945,2011-02-01,50010919870817041B,男,1987/8/17
109946,2011-02-01,36073219880514413B,男,1988/5/14
109950,2011-02-01,23070219890723141E,男,1989/7/23
109954,2011-02-01,36040319881119241A,男,1988/11/19
109958,2011-02-01,41092819800518961B,男,1980/5/18
109961,2011-02-01,43062619801024533G,男,1980/10/24
109964,2011-02-01,51112419860424213C,男,1986/4/24
109965,2011-02-01,43110319990218004J,女,1999/2/18
109967,2011-02-01,50023119860927359G,男,1986/9/27
109969,2011-02-01,36070219890916003D,男,1989/9/16
109971,2011-02-01,35032219881118303G,男,1988/11/18
109973,2011-02-01,43010519841002053J,男,1984/10/2
109974,2011-02-01,52222919890829003H,男,1989/8/29
109975,2011-02-01,65010519820129071D,男,1982/1/29
109976,2011-02-01,43052219860524387D,男,1986/5/24
109977,2011-02-01,43062619911220801J,男,1991/12/20
109978,2011-02-01,21030419890618243A,男,1989/6/18
109979,2011-02-01,50010719880106163B,男,1988/1/6
109981,2011-02-01,35072319880117064G,女,1988/1/17
109982,2011-02-01,37148219810117201J,男,1981/1/17
109983,2011-02-01,43042119921026823A,男,1992/10/26
109984,2011-02-01,23030719841217402I,女,1984/12/17
109985,2011-02-01,15042919910809001B,男,1991/8/9
109986,2011-02-01,43030219780127107J,男,1978/1/27
109988,2011-02-01,23070619830626002A,女,1983/6/26
109989,2011-02-01,21032319910421206C,女,1991/4/21
109990,2011-02-01,34112419811113383F,男,1981/11/13
109992,2011-02-01,42038119821001121D,男,1982/10/1
109994,2011-02-01,31011519910502253B,男,1991/5/2
109995,2011-02-01,41132619860614155H,男,1986/6/14
109996,2011-02-01,51132419850318001A,男,1985/3/18
109999,2011-02-01,41070319890208052C,女,1989/2/8
110000,2011-02-01,44030119841109581E,男,1984/11/9
110002,2011-02-01,32010519860717061H,男,1986/7/17
110003,2011-02-01,33100319881028367A,男,1988/10/28
110004,2011-02-01,34020219840907203D,男,1984/9/7
110006,2011-02-01,32020219741031001G,男,1974/10/31
110007,2011-02-01,32118119830410237I,男,1983/4/10
110008,2011-02-01,41012219871226011E,男,1987/12/26
110009,2011-02-01,37020219900904543E,男,1990/9/4
110010,2011-02-01,32128319800117761J,男,1980/1/17
110011,2011-02-01,34080319940406221C,男,1994/4/6
110012,2011-02-01,15030219890629301H,男,1989/6/29
110013,2011-02-01,35058219880521855H,男,1988/5/21
110014,2011-02-01,23040319920216071G,男,1992/2/16
110016,2011-02-01,31011419900917003B,男,1990/9/17
110017,2011-02-01,41010319870811003A,男,1987/8/11
110019,2011-02-01,33010519851124001D,男,1985/11/24
110021,2011-02-01,33100319910806005I,男,1991/8/6
110023,2011-02-01,15042919850606091B,男,1985/6/6
110025,2011-02-01,21041119880725183D,男,1988/7/25
110028,2011-02-01,37078319880828399J,男,1988/8/28
110030,2011-02-01,15030219940724451E,男,1994/7/24
110031,2011-02-01,33042119900414051E,男,1990/4/14
110035,2011-02-01,23010319810618393J,男,1981/6/18
110037,2011-02-01,51162119850823773B,男,1985/8/23
110038,2011-02-01,21050219830801183I,男,1983/8/1
110043,2011-02-01,41112219890301831I,男,1989/3/1
110045,2011-02-01,53038119831225001A,男,1983/12/25
110046,2011-02-01,32111119861126331J,男,1986/11/26
110047,2011-02-01,45080219861007361E,男,1986/10/7
110048,2011-02-01,23023119890324053H,男,1989/3/24
110049,2011-02-01,50023419881025633G,男,1988/10/25
110050,2011-02-01,42082119940222151H,男,1994/2/22
110052,2011-02-01,37078519931129091E,男,1993/11/29
110053,2011-02-01,32020319830119181A,男,1983/1/19
110054,2011-02-01,34060319890902021H,男,1989/9/2
110057,2011-02-01,42010719910118053I,男,1991/1/18
110058,2011-02-01,22010419600603222D,女,1960/6/3
110062,2011-02-01,62010219910818151H,男,1991/8/18
110063,2011-02-01,23062119950619125A,男,1995/6/19
110064,2011-02-01,22020419930226031F,男,1993/2/26
110066,2011-02-01,22088219890103243B,男,1989/1/3
110068,2011-02-01,51072519890614801A,男,1989/6/14
110069,2011-02-01,43070319870313325F,男,1987/3/13
110070,2011-02-01,37040219870115481E,男,1987/1/15
110071,2011-02-01,41050219850116151B,男,1985/1/16
110074,2011-02-01,21122319880822401A,男,1988/8/22
110076,2011-02-01,41092619890921047C,男,1989/9/21
110077,2011-02-01,37088319860426551E,男,1986/4/26
110078,2011-02-01,37132619831019281D,男,1983/10/19
110081,2011-02-01,44010619861030182C,女,1986/10/30
110084,2011-02-01,21010619870626211H,男,1987/6/26
110086,2011-02-01,21020219810916731F,男,1981/9/16
110087,2011-02-01,37078419870208251D,男,1987/2/8
110090,2011-02-01,33012219840415061E,男,1984/4/15
110092,2011-02-01,44088219950901883C,男,1995/9/1
110096,2011-02-01,33100419890724003B,男,1989/7/24
110097,2011-02-01,50038119891215931D,男,1989/12/15
110098,2011-02-01,51052219840526371F,男,1984/5/26
110099,2011-02-01,32062319880704301I,男,1988/7/4
110100,2011-02-01,53018119830403261H,男,1983/4/3
110101,2011-02-01,34052119861105005F,男,1986/11/5
110102,2011-02-01,37081119940928201F,男,1994/9/28
110103,2011-02-01,33062119831213739C,男,1983/12/13
110104,2011-02-01,33032619940220073H,男,1994/2/20
110105,2011-02-01,43072619870622003F,男,1987/6/22
110106,2011-02-01,37080219820430211B,男,1982/4/30
110107,2011-02-01,43122319880813203D,男,1988/8/13
110109,2011-02-01,36042919900427001J,男,1990/4/27
110111,2011-02-01,21011419820110511H,男,1982/1/10
110112,2011-02-01,45020319870717131E,男,1987/7/17
110113,2011-02-01,35018119811215391I,男,1981/12/15
110114,2011-02-01,42011319830905003D,男,1983/9/5
110115,2011-02-01,41018119900918101J,男,1990/9/18
110116,2011-02-01,42050419890616572J,女,1989/6/16
110119,2011-02-01,35010219890916645A,男,1989/9/16
110121,2011-02-01,44122419930914328F,女,1993/9/14
110122,2011-02-01,51130319851215136H,女,1985/12/15
110124,2011-02-01,41090119921101407E,男,1992/11/1
110126,2011-02-01,35011119810723391D,男,1981/7/23
110127,2011-02-01,44522219910618004A,女,1991/6/18
110128,2011-02-01,42110219881122561H,男,1988/11/22
110130,2011-02-01,37110219870726161I,男,1987/7/26
110131,2011-02-01,23060219860110681E,男,1986/1/10
110132,2011-02-01,61011219880502103H,男,1988/5/2
110134,2011-02-01,23010319930206131I,男,1993/2/6
110138,2011-02-01,22070219880207081I,男,1988/2/7
110143,2011-02-01,50023119900224001G,男,1990/2/24
110147,2011-02-01,43112119890926301J,男,1989/9/26
110149,2011-02-01,42032319860620001H,男,1986/6/20
110150,2011-02-01,44080119831217031B,男,1983/12/17
110151,2011-02-01,41072619911017343H,男,1991/10/17
110152,2011-02-01,50022819850517091A,男,1985/5/17
110153,2011-02-01,63010519861220101H,男,1986/12/20
110154,2011-02-01,43082219880727003A,男,1988/7/27
110155,2011-02-01,32068419821030139C,男,1982/10/30
110156,2011-02-01,61050219881223661G,男,1988/12/23
110157,2011-02-01,51040219741214091G,男,1974/12/14
110158,2011-02-01,33010219881104123B,男,1988/11/4
110159,2011-02-01,32092119881129017C,男,1988/11/29
110160,2011-02-01,32011419821224331G,男,1982/12/24
110161,2011-02-01,61040419820126108H,女,1982/1/26
110163,2011-02-01,34020419890419321C,男,1989/4/19
110164,2011-02-01,51060319840202633A,男,1984/2/2
110166,2011-02-01,51152519891028273D,男,1989/10/28
110167,2011-02-01,41112219910211817J,男,1991/2/11
110168,2011-02-01,43048219881114004A,女,1988/11/14
110169,2011-02-01,43102219841111677D,男,1984/11/11
110174,2011-02-01,51018219860624581F,男,1986/6/24
110176,2011-02-01,21050419880724001H,男,1988/7/24
110177,2011-02-01,43048219940829041D,男,1994/8/29
110179,2011-02-01,42058119850514033J,男,1985/5/14
110180,2011-02-01,51132519851227151C,男,1985/12/27
110182,2011-02-01,23270019820609419G,男,1982/6/9
110184,2011-02-01,42010219820430405E,男,1982/4/30
110186,2011-02-01,22072319911015061B,男,1991/10/15
110188,2011-02-01,21100219811009017B,男,1981/10/9
110189,2011-02-01,32108819910208341E,男,1991/2/8
110191,2011-02-01,23118119850706051J,男,1985/7/6
110192,2011-02-01,21030219920213271A,男,1992/2/13
110195,2011-02-01,42060619901215001F,男,1990/12/15
110199,2011-02-01,33028119870421171C,男,1987/4/21
110200,2011-02-01,51130219860611321A,男,1986/6/11
110204,2011-02-01,42102319780828583D,男,1978/8/28
110205,2011-02-01,15250219890407051D,男,1989/4/7
110206,2011-02-01,65020319871006071A,男,1987/10/6
110207,2011-02-01,43030219771112151J,男,1977/11/12
110208,2011-02-01,41108219860522421G,男,1986/5/22
110210,2011-02-01,43062319860323573B,男,1986/3/23
110211,2011-02-01,50010219900104231I,男,1990/1/4
110213,2011-02-01,50038119901101001H,男,1990/11/1
110214,2011-02-01,15040219860723061C,男,1986/7/23
110216,2011-02-01,37148219870203601E,男,1987/2/3
110217,2011-02-01,31010819800418483C,男,1980/4/18
110218,2011-02-01,42130219901114235F,男,1990/11/14
110221,2011-02-01,33028119930523331B,男,1993/5/23
110223,2011-02-01,15020219811112131I,男,1981/11/12
110224,2011-02-01,32072419930828451F,男,1993/8/28
110225,2011-02-01,34122619891015617G,男,1989/10/15
110226,2011-02-01,23010219890317483G,男,1989/3/17
110227,2011-02-01,31010719880617132B,女,1988/6/17
110228,2011-02-01,32032219901106621J,男,1990/11/6
110230,2011-02-01,51101119900424487F,男,1990/4/24
110231,2011-02-01,35040319870902001G,男,1987/9/2
110232,2011-02-01,41120219810201301B,男,1981/2/1
110234,2011-02-01,34032319890128001H,男,1989/1/28
110236,2011-02-01,51092119740612141E,男,1974/6/12
110237,2011-02-01,15022219870529355I,男,1987/5/29
110240,2011-02-01,42900419891103347I,男,1989/11/3
110241,2011-02-01,23038119831119631G,男,1983/11/19
110242,2011-02-01,32098119880902579F,男,1988/9/2
110245,2011-02-01,15220119840917152H,女,1984/9/17
110247,2011-02-01,41032719790402305F,男,1979/4/2
110250,2011-02-01,51032219840113285I,男,1984/1/13
110251,2011-02-01,62010419950523051F,男,1995/5/23
110252,2011-02-01,21050319901128181J,男,1990/11/28
110253,2011-02-01,65010319880530553H,男,1988/5/30
110256,2011-02-01,42022219910613287I,男,1991/6/13
110258,2011-02-01,43072519840716002H,女,1984/7/16
110259,2011-02-01,23020419850928171F,男,1985/9/28
110260,2011-02-01,37092319870226031C,男,1987/2/26
110261,2011-02-01,32050319821013051G,男,1982/10/13
110264,2011-02-01,32038119800115523E,男,1980/1/15
110265,2011-02-01,41140219881231003C,男,1988/12/31
110269,2011-02-01,41152619971026634D,女,1997/10/26
110271,2011-02-01,61042219931008009F,男,1993/10/8
110272,2011-02-01,22022119890825191I,男,1989/8/25
110274,2011-02-01,36048119871025401G,男,1987/10/25
110276,2011-02-01,45052119880203154A,女,1988/2/3
110277,2011-02-01,41102319860810155F,男,1986/8/10
110280,2011-02-01,34040319851002281D,男,1985/10/2
110281,2011-02-01,37082819870126401E,男,1987/1/26
110282,2011-02-01,36010219871114803A,男,1987/11/14
110283,2011-02-01,35040319861128601G,男,1986/11/28
110285,2011-02-01,22070219920803041G,男,1992/8/3
110287,2011-02-01,33030219871227651B,男,1987/12/27
110288,2011-02-01,37142819880620059B,男,1988/6/20
110293,2011-02-01,32028219880226341E,男,1988/2/26
110294,2011-02-01,51152719840908001D,男,1984/9/8
110295,2011-02-01,23022319730227001B,男,1973/2/27
110296,2011-02-01,62010319830207301A,男,1983/2/7
110297,2011-02-01,21088219920225423I,男,1992/2/25
110298,2011-02-01,51072419540319023C,男,1954/3/19
110299,2011-02-01,37040219890224801B,男,1989/2/24
110300,2011-02-01,32072119891108263G,男,1989/11/8
110303,2011-02-01,41130319900103513H,男,1990/1/3
110304,2011-02-01,42010619881027201D,男,1988/10/27
110305,2011-02-01,43028119870610455D,男,1987/6/10
110306,2011-02-01,41120219910306001H,男,1991/3/6
110309,2011-02-01,44010319880911331D,男,1988/9/11
